2014,Temp. (°C),Dew Point (°C),Humidity (%),Sea Level Press. (hPa),Visibility (km),Wind (km/h),Precip. (mm),Events,,,,,,,,,,,,
Apr,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,14,8,3,2,-2,-4,76,56,35,1021,1019,1016,16,16,16,26,16,40,0,
2,9,6,3,5,3,1,92,81,70,1022,1020,1019,16,16,16,16,6,32,0.76,Rain
3,17,11,4,5,1,-6,92,57,22,1021,1019,1017,16,16,13,21,9,26,2.03,Rain
4,7,6,5,6,3,2,92,84,76,1019,1015,1007,16,13,4,42,22,52,2.54,Rain
5,14,9,5,6,0,-6,93,63,32,1019,1011,1007,16,14,3,53,27,63,T,Rain
6,14,8,3,2,-4,-8,79,50,21,1024,1022,1019,16,16,16,40,17,89,0,
7,11,7,3,8,4,0,93,74,54,1024,1017,1007,16,11,3,42,18,56,8.89,Rain
8,19,14,8,13,7,-1,93,65,37,1006,1000,996,16,7,0,48,22,60,6.35,"Fog , Rain , Thunderstorm"
9,18,12,6,1,-3,-12,65,43,20,1017,1008,1004,16,16,16,48,24,60,0,
10,12,8,3,4,-2,-13,71,46,21,1024,1021,1018,16,16,16,47,26,56,0,
11,21,14,8,9,6,3,86,61,35,1018,1016,1014,16,16,16,32,14,39,T,Rain
12,20,15,9,10,6,1,83,56,29,1024,1022,1016,16,16,16,29,13,39,0,
13,18,13,8,11,9,6,89,75,60,1023,1020,1016,16,16,13,50,24,61,0,
14,19,15,11,12,10,9,93,77,60,1018,1015,1012,16,15,1,58,36,76,0,Fog
15,13,7,1,12,9,0,96,88,79,1012,1007,1001,16,5,0,53,37,69,16.51,"Fog , Rain , Snow"
16,9,5,0,0,-7,-11,64,44,23,1035,1025,1013,16,15,8,50,26,60,2.03,"Rain , Snow"
17,8,5,2,-1,-4,-8,70,55,40,1041,1038,1036,16,16,16,35,20,52,0,
18,8,5,2,2,-2,-4,79,64,49,1037,1032,1026,16,16,16,48,11,232,0,
19,20,12,4,3,-1,-8,85,51,16,1028,1025,1024,16,16,16,32,16,113,0,
20,12,9,6,1,-3,-6,60,44,28,1033,1031,1028,16,16,16,35,19,42,0,
21,14,9,3,6,1,-4,86,58,30,1027,1020,1013,16,16,16,21,10,24,0,
22,17,12,7,12,8,6,93,77,60,1012,1005,1000,16,16,14,39,14,47,T,Rain
23,17,12,7,9,2,-3,83,59,35,1010,1003,999,16,16,16,60,36,76,0,
24,18,12,6,-2,-10,-16,53,32,10,1017,1012,1010,16,16,16,50,34,66,0,
25,15,11,6,5,-3,-9,77,50,22,1018,1015,1009,16,16,16,29,15,37,T,Rain
26,19,14,8,8,7,4,93,65,37,1012,1008,1006,16,14,2,35,17,42,18.03,Rain
27,16,12,8,7,1,-1,86,60,33,1020,1015,1012,16,16,16,37,22,50,0,
28,19,13,7,6,2,-4,74,48,22,1021,1019,1016,16,16,16,35,16,40,0,
29,11,9,7,5,3,2,77,69,61,1030,1027,1022,16,16,16,50,32,63,1.27,Rain
30,13,9,6,12,6,3,100,88,76,1029,1024,1015,16,6,2,50,31,63,118.87,Rain
2014,Temp. (°C),Dew Point (°C),Humidity (%),Sea Level Press. (hPa),Visibility (km),Wind (km/h),Precip. (mm),Events,,,,,,,,,,,,
May,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,22,17,12,16,12,11,100,89,78,1015,1009,1006,16,7,0,37,21,48,6.1,"Fog , Rain"
2,21,16,11,11,6,0,72,51,30,1011,1008,1006,16,16,11,39,18,45,0.25,Rain
3,19,14,9,10,6,4,89,65,40,1012,1010,1008,16,16,16,37,16,45,T,Rain
4,19,16,12,9,3,-6,83,53,22,1009,1007,1004,16,16,16,52,30,71,T,
5,21,16,10,2,-2,-8,54,35,15,1012,1011,1009,16,16,16,53,27,69,0,
6,21,16,10,6,-1,-5,51,37,22,1019,1014,1012,16,16,16,35,17,47,0,
7,18,14,10,8,1,-4,77,51,25,1024,1023,1019,16,16,16,32,15,37,0,
8,14,13,11,13,11,7,100,83,66,1023,1022,1019,16,9,0,19,8,26,9.65,Rain
9,17,16,13,15,13,12,100,92,84,1023,1020,1016,16,7,0,24,14,29,1.02,"Fog , Rain , Thunderstorm"
10,25,19,12,17,14,11,100,80,60,1016,1013,1010,16,7,0,52,14,63,20.07,"Fog , Rain"
11,26,21,16,17,9,4,93,61,29,1019,1016,1012,16,16,8,34,15,39,0.51,Rain
12,24,19,13,16,12,10,87,65,43,1020,1019,1017,16,16,16,35,14,47,0,
13,21,16,11,14,8,4,90,63,36,1026,1022,1016,16,16,13,37,19,47,0,
14,18,14,10,14,11,7,90,79,67,1027,1026,1024,16,14,1,23,12,26,T,
15,22,19,16,17,16,14,97,85,73,1024,1022,1019,16,5,0,39,24,48,3.56,Rain
16,19,17,16,17,16,15,100,94,87,1019,1013,1010,16,6,2,53,33,71,32,Rain
17,21,17,13,14,8,2,84,60,36,1020,1016,1011,16,16,16,35,17,42,T,Rain
18,21,16,11,5,2,-1,64,47,29,1023,1021,1020,16,16,16,32,17,42,0,
19,23,17,10,5,1,-3,55,38,20,1023,1021,1018,16,16,16,42,18,60,0,
20,26,19,13,10,4,-1,60,39,17,1021,1018,1015,16,16,16,35,17,48,0,
21,24,20,16,13,9,5,84,60,36,1016,1014,1013,16,16,16,23,13,27,0,
22,17,16,14,14,13,12,93,83,72,1013,1011,1010,16,13,2,24,11,27,8.13,"Rain , Thunderstorm"
23,21,17,14,14,13,12,93,80,66,1014,1012,1011,16,12,2,32,10,39,8.13,"Rain , Thunderstorm"
24,21,18,14,13,12,11,93,74,55,1019,1016,1013,16,15,8,26,13,37,1.27,Rain
25,26,19,13,13,12,8,93,63,33,1020,1018,1017,16,16,11,34,15,39,0,
26,29,23,16,14,12,9,84,57,29,1018,1015,1012,16,16,16,37,20,42,0,
27,29,23,18,18,15,12,78,61,43,1013,1011,1008,16,16,16,35,15,48,T,
28,19,16,12,15,11,7,86,75,64,1022,1015,1009,16,16,16,32,19,40,T,
29,17,14,11,8,7,4,71,62,53,1024,1023,1022,16,16,16,24,13,32,0,
30,21,17,12,14,10,6,84,64,44,1022,1019,1016,16,16,14,32,12,37,0.76,Rain
31,22,18,13,12,9,6,77,60,42,1026,1022,1018,16,16,16,42,18,52,T,
2014,Temp. (°C),Dew Point (°C),Humidity (%),Sea Level Press. (hPa),Visibility (km),Wind (km/h),Precip. (mm),Events,,,,,,,,,,,,
Jun,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,24,18,12,9,6,2,72,49,25,1028,1027,1025,16,16,16,23,13,26,0,
2,23,19,14,14,10,6,78,60,41,1026,1022,1017,16,16,16,35,16,42,0,
3,27,22,17,19,15,13,87,69,51,1017,1013,1010,16,16,16,35,12,66,T,Rain
4,28,23,17,17,16,14,90,69,48,1011,1009,1008,16,16,13,34,12,60,T,
5,25,21,17,17,14,8,93,66,38,1009,1005,1004,16,13,4,37,20,50,12.7,Rain
6,26,22,17,9,9,8,56,46,36,1014,1011,1009,16,16,16,34,21,69,0,
7,27,22,16,14,12,9,68,52,36,1016,1015,1014,16,16,16,26,13,71,0,
8,29,23,16,16,14,10,90,61,31,1015,1014,1012,16,16,16,23,10,27,0,
9,20,19,17,18,17,16,93,85,76,1015,1014,1013,16,14,3,23,10,29,24.13,"Rain , Thunderstorm"
10,26,23,19,20,19,18,93,81,69,1015,1014,1013,16,13,1,19,8,37,0,
11,21,19,16,19,14,13,90,76,61,1020,1019,1016,16,15,3,32,19,40,T,Rain
12,24,21,16,20,17,14,93,84,74,1019,1017,1014,16,13,0,34,17,40,0.25,Rain
13,27,23,19,21,19,18,93,84,74,1013,1010,1007,16,7,0,34,12,45,25.15,"Fog , Rain , Thunderstorm"
14,26,22,17,19,13,8,100,69,37,1017,1012,1009,16,14,1,45,20,56,0,
15,28,22,16,13,11,9,72,53,34,1019,1018,1017,16,16,16,35,19,42,0,
16,25,22,18,17,13,8,81,57,33,1022,1020,1019,16,16,16,23,12,27,0,
17,28,24,20,21,19,18,87,75,62,1019,1016,1012,16,16,14,29,13,35,T,
18,33,28,23,21,17,12,82,57,31,1015,1012,1010,16,16,16,45,19,58,0,
19,24,23,21,19,18,16,90,77,64,1016,1015,1014,16,16,14,37,13,42,1.27,Rain
20,28,23,18,19,8,2,90,56,22,1016,1014,1012,16,16,16,29,18,39,0,
21,24,21,17,14,8,6,84,59,33,1015,1014,1013,16,16,10,24,13,29,0,
22,25,21,16,15,13,9,90,64,38,1017,1015,1013,16,16,16,23,10,27,0,
23,27,22,17,17,15,11,90,63,36,1022,1020,1018,16,16,16,32,14,35,0,
24,26,22,18,18,17,15,87,73,58,1022,1020,1017,16,16,16,47,23,53,0,
25,28,24,20,22,21,18,90,80,69,1017,1014,1011,16,13,2,39,20,50,2.29,
26,32,27,21,21,19,17,93,70,46,1015,1011,1009,16,15,5,29,14,39,0.51,Rain
27,26,22,18,18,16,14,81,65,48,1024,1020,1015,16,16,16,27,13,35,0,
28,30,24,19,16,14,11,78,55,32,1026,1025,1024,16,16,16,26,14,32,0,
29,26,22,18,18,15,12,84,65,45,1025,1023,1021,16,16,16,32,15,42,0,
30,27,23,19,20,19,16,93,78,62,1021,1018,1014,16,16,16,39,21,47,0,
2014,Temp. (°C),Dew Point (°C),Humidity (%),Sea Level Press. (hPa),Visibility (km),Wind (km/h),Precip. (mm),Events,,,,,,,,,,,,
Jul,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,29,26,22,22,20,18,90,78,65,1015,1013,1011,16,16,16,48,24,61,0,
2,29,26,22,22,21,19,84,75,65,1015,1013,1011,16,15,3,48,19,60,13.21,"Rain , Thunderstorm"
3,29,26,22,23,21,19,93,79,65,1017,1014,1012,16,16,10,45,14,56,8.89,"Rain , Thunderstorm"
4,24,22,19,21,17,11,93,71,49,1016,1014,1012,16,15,10,50,24,66,8.13,Rain
5,29,24,18,14,9,8,57,42,27,1021,1019,1016,16,16,16,40,22,50,0,
6,28,24,19,18,15,11,79,58,36,1020,1017,1014,16,16,16,37,21,47,0,
7,28,25,21,19,18,17,79,69,58,1014,1011,1008,16,16,16,34,20,40,0,
8,31,27,22,21,19,18,84,69,53,1011,1009,1006,16,16,14,52,24,72,T,
9,29,26,22,20,19,18,84,70,55,1014,1012,1009,16,16,16,35,19,45,0.25,
10,29,26,22,20,17,14,79,61,43,1021,1018,1014,16,16,10,24,10,29,0.76,"Rain , Thunderstorm"
11,29,24,19,19,16,11,87,60,32,1024,1022,1020,16,16,11,24,11,35,0,
12,28,23,19,20,18,16,97,74,51,1024,1023,1021,16,13,2,32,16,40,0,Fog
13,27,24,21,21,20,19,97,86,74,1021,1017,1013,16,16,13,47,26,60,1.52,Rain
14,28,25,21,22,21,19,93,79,65,1014,1012,1010,16,13,3,34,11,40,47.5,"Rain , Thunderstorm"
15,28,24,21,23,21,20,97,88,79,1010,1009,1008,16,9,1,27,11,35,26.16,"Rain , Thunderstorm"
16,28,25,21,21,17,11,93,64,34,1012,1009,1008,16,15,5,29,14,37,0.25,Rain
17,28,24,19,16,13,11,68,54,39,1020,1015,1012,16,16,16,24,14,32,0,
18,29,24,18,16,11,6,78,52,26,1024,1023,1020,16,16,16,26,11,39,0,
19,26,23,20,15,13,11,68,56,43,1025,1023,1022,16,16,16,24,11,40,0,
20,26,23,20,17,16,14,76,66,56,1022,1021,1020,16,16,16,32,14,37,T,Rain
21,28,23,18,19,17,13,84,62,40,1023,1022,1021,16,16,16,23,11,35,0,
22,29,24,20,19,18,16,78,68,58,1022,1021,1018,16,16,16,40,20,53,0,
23,28,25,22,22,20,16,79,72,64,1017,1013,1009,16,16,6,45,22,56,0.51,"Rain , Thunderstorm"
24,28,26,22,22,16,12,82,61,40,1013,1011,1009,16,16,16,32,17,42,0,Rain
25,28,24,19,18,13,9,73,52,31,1017,1015,1013,16,16,16,26,16,34,0,
26,27,24,21,21,17,14,87,73,58,1016,1015,1013,16,16,16,29,16,37,2.29,Rain
27,29,26,22,22,21,19,90,78,65,1013,1008,1005,16,16,16,35,19,40,0.25,Rain
28,29,25,21,22,18,14,90,67,44,1005,1002,1000,16,15,10,50,26,63,12.95,"Rain , Thunderstorm"
29,26,22,18,13,11,8,68,50,32,1015,1011,1006,16,16,16,34,17,45,0,
30,27,22,18,17,12,9,73,54,35,1018,1016,1015,16,16,16,32,15,37,0,
31,28,23,18,20,16,13,84,65,45,1021,1020,1018,16,16,16,37,19,45,0,
